x,y,vx,vy,ax,ay
0.000000,0.000000,49.397582,45.264544,-0.447808,-10.210340
0.456299,0.417703,49.393446,45.170229,-0.447621,-10.209349
0.915395,0.837685,49.389276,45.075886,-0.458869,-10.220461
1.371617,1.253640,49.385003,44.981440,-0.458678,-10.219445
1.830635,1.671872,49.380802,44.887078,-0.458487,-10.218430
2.286779,2.086078,49.376533,44.792651,-0.458295,-10.217414
2.745718,2.502561,49.372335,44.698308,-0.458103,-10.216400
3.201783,2.915018,49.368069,44.603900,-0.457911,-10.215386
3.660644,3.329751,49.363875,44.509575,-0.457720,-10.214373
4.116631,3.740459,49.359612,44.415186,-0.457528,-10.213360
4.575413,4.153444,49.355422,44.320880,-0.457337,-10.212349
5.031322,4.562404,49.351163,44.226509,-0.457146,-10.211338
5.490025,4.973641,49.346976,44.132223,-0.456955,-10.210328
5.945857,5.380853,49.342721,44.037870,-0.456764,-10.209318
6.404481,5.790341,49.338537,43.943602,-0.456573,-10.208309
6.860235,6.195805,49.334285,43.849268,-0.456382,-10.207301
7.318781,6.603546,49.330105,43.755019,-0.456192,-10.206294
7.774456,7.007263,49.325857,43.660704,-0.456001,-10.205287
8.232925,7.413256,49.321681,43.566473,-0.455811,-10.204282
8.688522,7.815227,49.317436,43.472176,-0.455620,-10.203276
9.146912,8.219473,49.313263,43.377964,-0.455430,-10.202272
9.602432,8.619697,49.309021,43.283686,-0.455240,-10.201268
10.060743,9.022196,49.304852,43.189492,-0.455050,-10.200266
10.516185,9.420674,49.300614,43.095233,-0.454860,-10.199263
10.974419,9.821426,49.296449,43.001058,-0.454671,-10.198262
11.429783,10.218158,49.292214,42.906817,-0.454481,-10.197261
11.887939,10.617165,49.288052,42.812660,-0.454292,-10.196261
12.343226,11.012152,49.283821,42.718438,-0.454102,-10.195262
12.801303,11.409412,49.279662,42.624299,-0.453913,-10.194264
13.256513,11.802654,49.275435,42.530095,-0.453724,-10.193265
13.714512,12.198169,49.271279,42.435975,-0.453535,-10.192269
14.169644,12.589666,49.267055,42.341790,-0.453346,-10.191272
14.627566,12.983437,49.262904,42.247688,-0.453158,-10.190277
15.082620,13.373189,49.258683,42.153521,-0.452969,-10.189282
15.540464,13.765215,49.254535,42.059438,-0.452781,-10.188288
15.995441,14.153223,49.250318,41.965289,-0.452592,-10.187294
16.453208,14.543504,49.246173,41.871224,-0.452404,-10.186302
16.908107,14.929768,49.241960,41.777094,-0.452216,-10.185310
17.365796,15.318306,49.237818,41.683047,-0.452028,-10.184319
17.820619,15.702827,49.233608,41.588935,-0.451840,-10.183328
18.278230,16.089620,49.229470,41.494907,-0.451653,-10.182339
18.732975,16.472398,49.225264,41.400813,-0.451465,-10.181349
19.190509,16.857449,49.221130,41.306803,-0.451278,-10.180361
19.645177,17.238484,49.216926,41.212728,-0.451090,-10.179373
20.102633,17.621791,49.212795,41.118736,-0.450903,-10.178387
20.557225,18.001084,49.208596,41.024679,-0.450716,-10.177401
21.014603,18.382648,49.204468,40.930705,-0.450530,-10.176416
21.469118,18.760199,49.200272,40.836666,-0.450342,-10.175431
21.926419,19.140021,49.196148,40.742711,-0.450156,-10.174447
22.380857,19.515830,49.191955,40.648690,-0.449969,-10.173464
22.838081,19.893911,49.187835,40.554753,-0.449783,-10.172482
23.292442,20.267978,49.183645,40.460750,-0.449597,-10.171499
23.749588,20.644317,49.179528,40.366831,-0.449411,-10.170519
24.203873,21.016643,49.175342,40.272847,-0.449225,-10.169538
24.660942,21.391241,49.171229,40.178946,-0.449040,-10.168559
25.115150,21.761826,49.167046,40.084979,-0.448854,-10.167580
25.572142,22.134683,49.162936,39.991096,-0.448669,-10.166602
26.026273,22.503528,49.158757,39.897148,-0.448483,-10.165625
26.483188,22.874644,49.154650,39.803283,-0.448298,-10.164649
26.937243,23.241749,49.150475,39.709353,-0.448113,-10.163672
27.394081,23.611124,49.146371,39.615506,-0.447928,-10.162698
27.848059,23.976490,49.142199,39.521594,-0.447743,-10.161723
28.304821,24.344125,49.138099,39.427765,-0.447559,-10.160749
